xml_file,wav_file,token_n,start,end,orth,ipa_gold,ipa_notone,ipa_full_normalized,changed,source_corpus
Leccion_01.xml,Leccion_01.wav,,12.45,12.81,Mee,mẽẽ↗,mẽẽ,mẽẽ,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,12.81,13.32,nani,naní,nani,nani,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,13.32,14.41,Octavio,oktáviò,oktavio,oktavio,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,0,16.31,Mee nani Octavio,,,mẽẽ nani oktavio,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,22.93,23.55,meeni,meení,meeni,meeni,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,24.18,24.59,nani,nani,nani,nani,no,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,24.59,24.96,ni,ní,ni,ni,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,22.67,22.93,Cha,tʃa,tʃa,t͡ʃa,no,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,23.68,24.18,nixi,niʃí,niʃi,niʃi,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,16.31,28.02,Cha meeni nixi nani ni,,,t͡ʃa meeni niʃi nani ni,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,32.61,33.14,meun,meṹ,meũ,meũ,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,32.41,32.61,Cha,tʃa,tʃa,t͡ʃa,no,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,33.77,34.45,nanu,nanú,nanu,nanu,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,33.34,33.77,nixi,niʃí,niʃi,niʃi,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,28.02,36.34,Cha meun nixi nanu,,,t͡ʃa meũ niʃi nanu,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,40.98,41.65,kaꞌun,káʔṹ,kaʔũ,kaʔũ,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,40.84,40.98,A,a,a,a,no,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,41.65,42.21,saꞌan,sã̀ã́,sãã,sãã,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,42.21,42.97,savi,sâví,savi,savi,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,36.34,44.90,A kaꞌun saꞌan savi,,,a kaʔũ sãã savi,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,51.74,52.5,savi,sâví,savi,savi,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,51.19,51.74,saꞌan,sã̀ʔã,sãʔã,sãʔã,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,50.0,50.94,Kutuꞌuva,kút̪úʔùβâ,kut̪uʔuβa,kutuʔuβa,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,44.90,55.56,Kutuꞌuva saꞌan savi,,,kutuʔuβa sãʔã savi,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,62.13,62.62,nani,naní,nani,nani,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,61.77,62.13,Mee,meé,mee,mee,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,62.79,63.71,Octavio,oktávíô,oktavio,oktavio,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,55.56,65.40,Mee nani Octavio,,,mee nani oktavio,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,68.09,68.58,nani,naní,nani,nani,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,67.75,68.09,Mee,meé,mee,mee,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,68.76,69.7,Oktavio,oktávíô,oktavio,oktavio,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,65.40,71.85,Mee nani Oktavio,,,mee nani oktavio,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,74.2,74.45,Cha,tʃa,tʃa,t͡ʃa,no,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,75.67,76.11,nani,naní,nani,nani,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,76.11,76.46,ni,ní,ni,ni,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,74.45,75.03,meeni,meéní,meeni,meeni,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,75.25,75.67,nixi,niʃí,niʃi,niʃi,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,71.85,78.65,Cha meeni nixi nani ni,,,t͡ʃa meeni niʃi nani ni,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,82.59,83.02,nixi,nìʃi,niʃi,niʃi,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,83.44,83.83,ni,ní,ni,ni,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,81.52,81.77,Cha,tʃa,tʃa,t͡ʃa,no,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,83.02,83.44,nani,naní,nani,nani,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,81.77,82.34,meeni,meéní,meeni,meeni,yes,sentence-level-word
Leccion_01.xml,Leccion_01.wav,,78.65,86.50,Cha meeni nixi nani ni,,,t͡ʃa meeni niʃi nani ni,,sentence-level-full
Leccion_01.xml,Leccion_01.wav,,90.07,90.75,nanu,nanú,nanu,nanu,yes,sentence-level-word
