abs_path	label	detail
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/MIX-Bibliography.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/MIX-Lexical_Feature_Inventory.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/MIX-Lexicon-TEI-Dict.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/MIX-People.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/MIX-Phonetics-Phonology-Inventory-fsdDecl-TEI.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/MIX-Places.xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/Aprendamos_el_idioma_mixteco_(Mixtepec).xml	UNCLASSIFIABLE	no <u> elements found
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_01.xml	sentence	15 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_02.xml	mixed	36 <u> elements, mixed structure: ['sentence', 'single-word']
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_03.xml	mixed	21 <u> elements, mixed structure: ['sentence', 'single-word']
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_04.xml	sentence	9 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_05.xml	single-word	33 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_07.xml	sentence	9 <u> elements, consistent structure
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/SIL_docs/Aprendamos-2018/speech_transcriptions/Leccion_08.xml	sentence	8 <u> elements, consistent structure
